(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(7, 0)
(8, 0)
(9, 0)
(10, 0)
(11, 0)
(12, 0)
(13, 0)
(14, 0)
(15, 2)
(16, 0)
(17, 0)
(18, 0)
(19, 0)
(20, 1)
(21, 0)
(22, 3)
(23, 0)
(24, 0)
(25, 0)
(26, 0)
(27, 0)
(28, 0)
(29, 1)
(30, 0)
(31, 3)
(32, 0)
(33, 0)
(34, 0)
(35, 0)
(36, 2)
(37, 0)
(38, 0)
(39, 0)
(40, 2)
(41, 0)
(42, 0)
(43, 1)
(44, 0)
(45, 3)
(46, 0)
(47, 0)
(48, 0)
(49, 0)
(50, 0)
(51, 0)
(52, 1)
(53, 3)
(54, 0)
(55, 0)
(56, 0)
(57, 0)
(58, 0)
(59, 2)
(60, 0)
(61, 0)
(62, 0)
(63, 2)
(64, 0)
(65, 1)
(66, 0)
(67, 3)
(68, 0)
(69, 0)
(70, 0)
(71, 0)
(72, 0)
(73, 0)
(74, 0)
(75, 0)
(76, 0)
(77, 1)
(78, 3)
(79, 0)
(80, 0)
(81, 0)
(82, 0)
(83, 0)
(84, 2)
(85, 0)
(86, 0)
(87, 0)
(88, 0)
(89, 0)
(90, 0)
(91, 2)
(92, 0)
(93, 0)
(94, 0)
(95, 1)
(96, 3)
(97, 0)
(98, 0)
(99, 0)
(100, 0)
(101, 0)
(102, 0)
(103, 2)
(104, 0)
(105, 0)
(106, 0)
(107, 1)
(108, 0)
(109, 3)
(110, 0)
(111, 0)
(112, 0)
(113, 0)
(114, 2)
(115, 0)
(116, 0)
(117, 0)
(118, 2)
(119, 0)
(120, 0)
(121, 2)
(122, 0)
(123, 0)
(124, 0)
(125, 1)
(126, 3)
(127, 0)
(128, 0)
(129, 0)
(130, 0)
(131, 0)
(132, 0)
(133, 0)
(134, 3)
(135, 0)
(136, 0)
(137, 0)
(138, 0)
(139, 0)
(140, 0)
(141, 1)
(142, 0)
(143, 3)
(144, 0)
(145, 0)
(146, 0)
(147, 0)
(148, 0)
(149, 0)
(150, 2)
(151, 0)
(152, 0)
(153, 0)
(154, 2)
(155, 0)
(156, 0)
(157, 0)
(158, 1)
(159, 0)
(160, 0)
(161, 3)
(162, 0)
(163, 0)
(164, 0)
(165, 0)
(166, 0)
(167, 0)
(168, 2)
(169, 0)
(170, 0)
(171, 2)
(172, 0)
(173, 0)
(174, 0)
(175, 2)
(176, 0)
(177, 0)
(178, 1)
(179, 0)
(180, 3)
(181, 0)
(182, 0)
(183, 0)
(184, 0)
(185, 0)
(186, 0)
(187, 0)
(188, 0)
(189, 0)
(190, 2)
(191, 0)
(192, 0)
(193, 1)
(194, 3)
(195, 0)
(196, 0)
(197, 0)
(198, 0)
(199, 0)
(200, 0)
(201, 0)
(202, 0)
(203, 1)
(204, 3)
(205, 0)
(206, 0)
(207, 0)
(208, 0)
(209, 0)
(210, 0)
(211, 0)
(212, 1)
(213, 3)
(214, 0)
(215, 0)
(216, 0)
(217, 0)
(218, 0)
(219, 0)
(220, 0)
(221, 1)
(222, 0)
(223, 3)
(224, 0)
(225, 0)
(226, 0)
(227, 0)
(228, 0)
(229, 0)
(230, 2)
(231, 0)
(232, 0)
(233, 2)
(234, 0)
(235, 0)
(236, 0)
(237, 1)
(238, 0)
(239, 3)
(240, 0)
(241, 0)
(242, 0)
(243, 0)
(244, 2)
(245, 0)
(246, 0)
(247, 2)
(248, 0)
(249, 0)
(250, 1)
(251, 0)
(252, 3)
(253, 0)
(254, 0)
(255, 0)
(256, 0)
(257, 0)
(258, 0)
(259, 3)
(260, 0)
(261, 0)
(262, 0)
(263, 0)
(264, 0)
(265, 0)
(266, 3)
(267, 0)
(268, 0)
(269, 0)
(270, 0)
(271, 0)
(272, 2)
(273, 0)
(274, 1)
(275, 0)
(276, 3)
(277, 0)
(278, 0)
(279, 0)
(280, 0)
(281, 0)
(282, 2)
(283, 0)
(284, 0)
(285, 0)
(286, 0)
(287, 0)
(288, 2)
(289, 0)
(290, 0)
(291, 0)
(292, 1)
(293, 3)
(294, 0)
(295, 0)
